ProductID;ListPrice;StandardCost;Color;Size;Weight;Style;class;BikeName;ModelName;SubName;CatName;UnitPrice;UnitPriceDiscount;OrderQty;SalesOrderID;TotalDue;SubTotal;TerritoryID;OrderDate;SellStartDate;SellEndDate
782;2294,99;1251,9813;Black;38;23.35;"U ";"H ";Mountain-200 Black, 38;Mountain-200;Mountain Bikes;Bikes;1229,4589;0,00;4;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
783;2294,99;1251,9813;Black;42;23.77;"U ";"H ";Mountain-200 Black, 42;Mountain-200;Mountain Bikes;Bikes;1229,4589;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
779;2319,99;1265,6195;Silver;38;23.35;"U ";"H ";Mountain-200 Silver, 38;Mountain-200;Mountain Bikes;Bikes;1242,8518;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
780;2319,99;1265,6195;Silver;42;23.77;"U ";"H ";Mountain-200 Silver, 42;Mountain-200;Mountain Bikes;Bikes;1242,8518;0,00;4;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
781;2319,99;1265,6195;Silver;46;24.13;"U ";"H ";Mountain-200 Silver, 46;Mountain-200;Mountain Bikes;Bikes;1242,8518;0,00;1;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
748;1364,50;747,2002;Silver;38;2.68;"U ";"H ";HL Mountain Frame - Silver, 38;HL;Mountain Frames;Components;744,2727;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2011-05-31 00:00:00.000;NULL
808;44,54;19,7758;NULL;NULL;NULL;NULL;"L ";LL Mountain Handlebars;LL;Handlebars;Components;24,2945;0,00;1;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
809;61,92;27,4925;NULL;NULL;NULL;NULL;"M ";ML Mountain Handlebars;ML;Handlebars;Components;33,7745;0,00;1;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
810;120,27;53,3999;NULL;NULL;NULL;NULL;"H ";HL Mountain Handlebars;HL;Handlebars;Components;65,6018;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;NULL
824;236,025;104,7951;Black;NULL;NULL;NULL;"M ";ML Mountain Rear Wheel;ML;Wheels;Components;141,615;0,00;3;46604;41824,897;37141,1313;5;2012-05-30 00:00:00.000;2012-05-30 00:00:00.000;2013-05-29 00:00:00.000
