Name;Color;Size;UnitPriceDiscount;MonthsFromMay;MonthOfSale;YearsOfAveliability;Weight;Class;StanstadCost;ListPrice;FinalSellPrice;PriceToCost;OrdersQuantity;YearsOfAnalyze
Mountain Bikes;Black;38;0,35;11;4;0;20.35;"H ";1898,0944;3374,99;548,4359;0,2889;70;06.2011-06.2012
Mountain Bikes;Black;38;0,02;10;3;0;20.35;"H ";1898,0944;3374,99;1918,3443;1,0106;12;06.2011-06.2012
Mountain Bikes;Black;38;0,02;2;7;0;20.35;"H ";1898,0944;3374,99;1918,3443;1,0106;13;06.2011-06.2012
Mountain Bikes;Black;38;0,02;5;10;0;20.35;"H ";1898,0944;3374,99;1918,3443;1,0106;11;06.2011-06.2012
Mountain Bikes;Black;38;0,00;8;1;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;129;06.2011-06.2012
Mountain Bikes;Black;38;0,00;9;2;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;28;06.2011-06.2012
Mountain Bikes;Black;38;0,00;10;3;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;61;06.2011-06.2012
Mountain Bikes;Black;38;0,00;0;5;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;22;06.2011-06.2012
Mountain Bikes;Black;38;0,00;2;7;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;55;06.2011-06.2012
Mountain Bikes;Black;38;0,00;3;8;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;81;06.2011-06.2012
Mountain Bikes;Black;38;0,00;5;10;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;130;06.2011-06.2012
Mountain Bikes;Black;38;0,00;7;12;0;20.35;"H ";1898,0944;3374,99;2024,994;1,0668;21;06.2011-06.2012
Mountain Bikes;Black;38;0,00;8;1;0;20.35;"H ";1898,0944;3374,99;3374,99;1,778;5;06.2011-06.2012
Mountain Bikes;Black;38;0,00;9;2;0;20.35;"H ";1898,0944;3374,99;3374,99;1,778;3;06.2011-06.2012
Mountain Bikes;Black;38;0,00;10;3;0;20.35;"H ";1898,0944;3374,99;3374,99;1,778;6;06.2011-06.2012
